customer_id,signup_date,region,membership_tier,marketing_opt_in
244220c6-4b0c-400c-a626-c97d73fe6a93,2023-03-01,Africa,Gold,Y
3e773705-cb10-4e5b-bb0c-85e2a9bb8ea1,2022-10-27,Oceania,Gold,Y
66815708-05fb-4b20-ad31-5ef756500854,2021-01-19,Europe,Bronze,Y
d44b52d4-a5f3-40c9-b783-ee09638be0f6,2021-08-21,Oceania,Gold,N
6b40431b-cd24-407e-b8df-bd843c1a55f3,2024-10-15,Oceania,Bronze,N
088debf8-e37b-459f-a59c-1c56d4109e50,2022-10-21,Asia,Silver,Y
c5b504dd-4e28-45e9-b708-0b78bebf5e40,2023-04-28,Europe,Silver,N
db9f0820-73cb-4f6b-a278-0d7437511316,2023-03-11,Asia,Silver,N
fd5f6e5f-acae-4508-9396-2be6f278cac8,2024-01-02,Oceania,Bronze,Y
fc261a31-5691-4e98-800b-137f8a9cf5cc,2024-10-28,Oceania,Gold,N
8776b75f-ecef-43a2-be19-b37aa966544f,2023-04-24,Oceania,Gold,Y
42ad622b-dc5b-4dc1-97b8-e22fd48f9d47,2024-02-14,Africa,Bronze,Y
1863f159-5ab2-c279-6e14-5fa48ee58a98,2025-12-05,North America,Bronze,N
43e71949-86f6-445f-a2e5-a9b94ec59497,2024-04-16,North America,Gold,Y
6635f9bc-e7fe-425b-ba33-4745f7c80b90,2022-12-13,Africa,Bronze,Y
deaaddae-370b-4ace-884e-844481291a28,2022-09-17,Africa,Silver,N
70a8f0df-25b5-4d9a-b446-37fe20b5cbba,2025-05-07,Africa,Gold,Y
9773b290-7b85-41fe-961f-bd918d479e15,2023-11-16,Africa,Gold,N
0bb9c606-5320-46af-beb0-b8d1e3e7e32d,2023-08-23,North America,Bronze,Y
8a4c5790-9535-4235-a713-fa9643e4e85d,2022-07-08,Asia,Silver,Y
2c0ef6cf-727d-264a-4cc4-a7e5fd25bca9,2026-01-05,South America,Silver,N
bf971338-d239-427f-8f9f-3f8bd5c45f4e,2021-04-06,Europe,Bronze,Y
f53d488d-e994-4cd2-9ab9-5b799f76385e,2023-12-21,North America,Silver,Y
790b7752-edcd-4824-bcf5-600c1253607c,2023-09-20,Oceania,Bronze,Y
c8a758c3-bd5c-4a43-9989-f01b2f16e803,2023-10-04,Asia,Bronze,Y
ecea934f-263d-479a-83ba-c96e3c8f5a90,2023-04-13,Oceania,Gold,N
fe8a4627-0b7b-4da1-bd1f-a6480db29f7f,2021-12-17,North America,Platinum,N
5c0234de-f9e9-4c13-ae2f-ce74400766dd,2024-06-21,Europe,Bronze,Y
8527c5f9-dc57-4594-b171-79363a128dae,2024-04-23,Europe,Bronze,Y
42646fae-b502-42a1-8cc0-c06ce764b5ee,2021-12-23,Oceania,Bronze,Y
031aa07c-fa0d-4017-a4d9-cbd8535d3c13,2022-09-23,Europe,Bronze,Y
f3d6b9f2-d4d7-40ca-b08d-16769d09a404,2023-09-24,South America,Bronze,N
b1ae9176-f6dc-49f6-884b-5f169a21aea8,2023-05-03,North America,Gold,Y
27346c0b-7b56-4038-bb30-8369824dfdf7,2022-11-01,North America,Bronze,N
31242890-12c6-4e8a-9b8e-698381d0934d,2024-03-07,North America,Silver,N
6508f5c4-2994-4775-ba4b-90e3fdf26daf,2023-06-29,South America,Silver,Y
2ffeb9b1-01ff-4c42-81fc-072de8177702,2024-01-12,Asia,Silver,Y
8b495a46-5212-41b2-8054-e5b07d7120b3,2022-08-12,Europe,Silver,N
7a355759-8350-4c2b-9aa6-ea6832b70c16,2025-09-15,Europe,Bronze,Y
768250ec-554e-44a6-969e-f4f8dbfc1df4,2023-03-13,Oceania,Gold,N
5d8c8633-e673-458e-93f7-0eea9c8a9bef,2023-04-09,Asia,Bronze,Y
b255b709-502b-4dc0-89c6-589a71ca8099,2024-01-05,North America,Platinum,Y
86497600-4a28-4af5-bda7-f0b21becdd66,2024-03-25,Oceania,Gold,Y
