customer_id,total_orders,total_spent,avg_order_value,last_order_date
002d111d-08aa-49da-94c5-be4f63e947bf,1,36.36,36.36,2025-05-03
002e1d10-db37-443a-bf11-910141236498,1,35.44,35.44,2025-10-29
0032110d-5405-4161-b788-70f87ed4f1cb,1,204.53,204.53,2024-10-09
0038dc84-a3ed-433a-a722-2ea2261b5048,1,217.03,217.03,2023-01-22
003965be-5d27-458b-9cc1-680356d8c52c,1,1107.68,1107.68,2023-01-07
0054d0c7-1039-4378-bc1d-fb5aeb2bdb03,1,670.60,670.60,2023-07-19
0057dfcc-ab7b-4c43-a4cd-b2ad56e8dfed,1,1815.45,1815.45,2024-06-18
006c386b-a1a1-44d8-8402-483c95f14a8a,1,371.38,371.38,2024-01-21
0075d3d5-ba94-4a66-ad7e-4a452099e71f,1,1226.88,1226.88,2023-08-16
007a159e-7ae7-49f8-8e00-b84bb3f01169,1,436.59,436.59,2023-03-06
0083193c-9711-46a6-8d5e-a0175589da6f,1,478.99,478.99,2023-02-07
00937ba0-65a0-4e43-bd2d-ca8673020b26,1,103.28,103.28,2024-01-14
00a68632-6176-48c4-be33-e329fe5ad7e5,1,317.66,317.66,2025-04-10
00bb0012-7f06-48bf-8fcf-bf69f8d8b79a,1,1082.94,1082.94,2023-08-13
00db24d5-323d-44e5-b7bc-3c29326e9448,1,304.51,304.51,2024-05-06
00e27fa3-4745-42f7-be0d-e86b3fa51d3b,1,1224.15,1224.15,2025-06-18
00e4b488-c309-4b44-a080-ba5cab5ecc3d,1,384.49,384.49,2024-09-11
00e5ebaf-2eb0-4b1e-aa7e-ee0b677ebe4d,1,25.38,25.38,2023-11-11
00efd96c-6b67-4e6a-a44f-70ccc3ce7385,1,53.35,53.35,2024-06-14
00fd5206-2ef4-4eb1-a9eb-f7828d039e8f,1,79.26,79.26,2025-01-26
0102ce31-9c82-44bc-a1cb-778946dc0eec,1,674.65,674.65,2023-09-06
01030bad-3e60-4aeb-8816-2ff7e1f07aeb,1,350.50,350.50,2023-06-02
010f339e-3246-42f3-986c-c279e03f7d5e,1,67.40,67.40,2025-10-21
0126fd53-05fe-4bf8-b996-b1aa8e27e50e,1,490.63,490.63,2024-09-09
0128d491-bc32-498f-a73a-dd327defbb69,1,69.18,69.18,2025-12-22
0149ac30-558d-4c80-88e9-4775413a9fd3,1,0.00,,2023-09-22
0153106f-4104-4e6f-9351-9f4398ed2bae,1,931.58,931.58,2025-04-10
0158ad3c-0b71-40c1-b177-ea39396f10cf,1,252.70,252.70,2023-02-21
01734b80-3566-4cd6-a1a3-83afe9c9d5df,1,112.89,112.89,2023-04-15
018a8ea1-cd65-4991-86e3-47074ede74f8,1,868.12,868.12,2023-09-16
019403d2-8370-400b-8b17-a9f62ea4d27b,1,625.50,625.50,2025-04-12
01a07005-e5bd-452e-8e80-c47e7635f660,1,321.34,321.34,2025-04-07
01a25ed1-c3ab-45f1-8c6b-7074ab102c9b,1,588.44,588.44,2025-12-31
01ae7eb1-4d45-4ea5-a3ec-4f6afe503fdc,1,512.91,512.91,2024-11-05
01b05586-6186-4d77-a147-da0629615636,1,1454.48,1454.48,2025-02-16
01bf9e73-3f80-4385-af92-40b652d78f10,1,1225.95,1225.95,2024-12-18
01c4225e-be40-4b83-89c6-2b6b58974643,1,1547.46,1547.46,2025-02-22
01c6deff-3eda-4d3b-a9fb-8d3334885010,1,950.53,950.53,2025-03-06
01e430f9-f266-4166-a9e6-55a577a477e9,1,1734.25,1734.25,2024-04-18
01f0977c-077d-464a-be57-13bec0752cd6,1,68.36,68.36,2023-05-21
01f239e4-3965-4c7a-82ff-3b13d32a27d1,1,345.99,345.99,2023-03-31
01fab3cc-8f3b-4740-b341-4c2456f44cd3,1,772.08,772.08,2024-08-02
0202bcc6-9e47-4818-bebb-4e4b5a223d71,1,26.52,26.52,2025-05-28
