order_id,order_date,customer_id,product_category,region,quantity,unit_price,discount,payment_method,delivery_days,customer_rating,revenue
80648,2024-04-14,8c14efa5-63c2-47b7-9eb5-9846cd4a491e,Beauty,South America,3,94.15,0.05,BankTransfer,1.0,2.5,268.33
32043,2025-12-09,691bb5ed-68ba-4665-a16a-858feeb2610b,Fashion,Asia,5,212.81,0.0,CreditCard,4.0,3.6,1064.05
83470,2025-08-06,8527c5f9-dc57-4594-b171-79363a128dae,Fashion,Europe,3,306.6,0.0,BankTransfer,6.0,4.8,919.8
66861,2024-05-04,c5128bbd-8599-4b12-a2fc-717c6fe69da7,Automotive,North America,5,18.43,0.15,PayPal,9.0,2.4,78.33
834,2023-05-16,4926ce5f-7878-4140-ac2a-4f71a77d95f1,Toys,Oceania,4,27.8,0.05,BankTransfer,2.0,4.2,105.64
1061,2023-10-08,694d7b00-8d38-4327-883f-13c601b158e9,Toys,Africa,3,82.82,0.05,Cash,5.0,3.8,236.04
32214,2023-03-17,e45fbf0c-777c-412f-9275-5c2569ab9b4c,Sports,Europe,5,47.29,0.0,Cash,1.0,2.6,236.45
75773,2024-10-25,debd90b1-9233-4874-a141-c462b41cd358,Beauty,North America,2,82.87,0.0,CreditCard,4.0,3.1,165.74
492,2023-06-01,5efa9c5b-7421-4f46-a37e-4b0122bae10e,Fashion,Asia,5,341.41,0.05,Cash,6.0,4.3,1621.7
52378,2023-04-06,4a3a7cf0-d163-4ff2-93a9-901990c01631,Toys,South America,4,202.61,0.05,CreditCard,5.0,3.2,769.92
31999,2025-10-11,8c63f503-49b2-448c-a15e-729e102925ea,Toys,Africa,1,56.51,0.05,CreditCard,8.0,2.7,53.68
26555,2023-10-06,4036d3f7-4dbf-4a86-9b18-0366c500c091,Toys,Asia,3,124.49,0.05,BankTransfer,2.0,3.8,354.8
73372,2025-08-30,e7c922cc-09af-4014-9129-b8fde38122c7,Electronics,North America,1,36.18,0.15,CreditCard,8.0,2.1,30.75
74121,2025-12-25,7c37f322-f92f-414b-8300-5549943d5c80,Toys,Africa,4,460.58,0.1,BankTransfer,3.0,4.4,1658.09
82861,2024-01-28,77a31000-09cc-470f-b7dd-b1ca84246d34,Toys,Africa,5,118.52,0.05,Cash,1.0,3.5,562.97
30622,2023-11-15,81238f51-5251-4c2b-9de3-35c276252e09,Sports,Oceania,4,14.103,0.15,CreditCard,1.0,5.0,47.95
881,2023-10-31,43ad3d62-b17c-4b21-8dbc-2c1ca4afe7bd,Fashion,Asia,4,257.93,0.0,CreditCard,9.0,3.1,1031.72
38712,2023-08-20,21fcc000-f37f-4265-8db9-372a752e9456,Fashion,Asia,2,265.91,0.1,CreditCard,1.0,2.1,478.64
32613,2025-08-22,b0aa7c2d-21d5-4174-9195-67ba7c2796bd,Fashion,Africa,2,56.9,0.0,CreditCard,1.0,4.1,113.8
87038,2025-03-10,2ad24be7-ae24-43b8-9476-9237f05c50ca,Fashion,Europe,3,251.36,0.0,CreditCard,1.0,3.2,754.08
52570,2025-01-08,2687c2ed-6fc0-4743-a1cb-0b88f8272b68,Automotive,Oceania,1,47.59,0.0,PayPal,6.0,3.5,47.59
76283,2024-01-26,c642aec4-c4d0-4ca5-a48c-b66a0ad995d1,Fashion,Africa,5,190.72,0.05,PayPal,8.0,3.2,905.92
11142,2023-11-08,b02e1da7-dff6-4376-a24e-ae6510435959,Beauty,South America,6,154.881,0.0,CreditCard,4.0,2.7,929.29
84260,2024-08-21,99dc1f8a-b5b1-403c-aa3f-4471532978ba,Automotive,Africa,2,373.78,0.2,BankTransfer,2.0,2.8,598.05
73016,2023-08-20,a7be898f-b431-4b48-8b32-4e1305fb2492,Sports,South America,2,284.19,0.05,CreditCard,6.0,2.3,539.96
97827,2024-10-09,0032110d-5405-4161-b788-70f87ed4f1cb,Electronics,Asia,1,227.26,0.1,CreditCard,6.0,2.3,204.53
65881,2024-06-17,cb60a67b-9fb3-44b3-90fb-b59d623c9859,Electronics,Oceania,2,90.23,0.05,BankTransfer,8.0,2.9,171.44
85309,2025-10-11,,Sports,South America,1,395.66,0.15,CreditCard,2.0,2.7,336.31
87757,2024-06-19,5ef9f63b-3ddf-43bd-b021-a0bfe437cdf3,Home,North America,4,261.57,0.1,BankTransfer,1.0,2.4,941.65
6937,2023-04-20,6ea28b15-d0a7-43b9-a7ea-ae636f850440,Toys,South America,5,488.03,0.05,PayPal,8.0,3.8,2318.14
69169,2025-06-08,4feb9f90-7722-4636-9cec-0cd5dcf8732c,Automotive,Africa,5,219.38,0.15,CreditCard,2.0,5.0,932.36
9854,2024-12-20,bfcc8e33-c7da-450f-8bab-99ee6a3990da,Beauty,North America,3,41.85,0.0,Cash,4.0,3.1,125.55
8777,2025-11-21,d8c024a9-a99e-4f9b-b68e-af5851ddaa9d,Home,Africa,3,176.508,0.05,PayPal,7.0,4.0,503.05
1166,2023-06-18,38d5101f-423c-4d9d-993e-478302b34254,Home,Africa,1,33.26,0.0,CreditCard,6.0,4.0,33.26
24620,2024-07-16,32632cc3-665e-416f-9b67-b77503b88938,Automotive,North America,1,39.14,0.05,PayPal,3.0,4.2,37.18
76530,2024-10-16,a9c0e92c-853e-4264-b63f-935df74e7518,Automotive,South America,5,127.4,0.0,CreditCard,9.0,2.3,637.0
96661,2025-04-23,4ebe21d2-48a3-40cd-aeb2-a48779b7b4b1,Fashion,Europe,4,5.71,0.05,Cash,9.0,2.4,21.7
66366,2025-11-08,e3776e99-66c7-4c2f-9e45-698f903cad56,Fashion,Oceania,5,81.144,0.0,Cash,1.0,4.6,405.72
65347,2023-06-12,3db0d591-a803-4cbb-98e3-048bbaa2119c,Home,Asia,4,342.46,0.0,PayPal,2.0,2.4,1369.84
61650,2025-08-14,a0dea76e-9e78-4ba3-a667-85a5bf9ea33c,Automotive,North America,1,353.44,0.0,PayPal,4.0,3.4,353.44
91061,2023-06-19,8abad58e-2958-4581-a84c-acbbcbf6d143,Sports,South America,3,186.7,0.0,BankTransfer,3.0,3.8,560.1
55406,2025-06-03,c5203938-b338-4d54-a57e-d7b188c0cd16,Toys,Europe,5,129.16,0.0,CreditCard,9.0,4.0,645.8
